Название,Жанр,Режиссер,Страны,Год,IMDb
Пароль «Рыба-меч»,"триллер, боевик, криминальный фильм",Доминик Сена,"США, Австралия",2001,6.5
Пароль «Корн»,шпионский детектив,Вальдемар Подгурский,Польша,1968,5.2
Парни с мётлами,"комедия, мелодрама, драма, спорт",Пол Гросс,Канада,2002,5.9
Парни с отрезанными рукавами,Кинокомедия,Рэй Енг,"Великобритания, Гонконг",2006,6.1
Парни побоку,комедия-драма,Герберт Росс,США,1995,6.5
Парниковый эксперимент,Триллер,"Филипп Мартинес, рус.",США,2009,3.9
Парни одной деревни,драма,Юри Мюйр,СССР,1961,6.2
"Парни не плачут (фильм, Польша)",комедия,Олаф Любашенко,Польша,1999,7.6
Парни нашей улицы,"драма, комедия",Тофик Исмайлов,"СССР, Азербайджанская ССР",1973,6.7
Парни музкоманды,комедия,"Генрих Малян, Генрих Маркарян",СССР,1960,6.4
Парни как особая культура,"драма, мелодрама",К. Аллан Брока,США,2006,6.8
Парни из Джерси (фильм),"музыкальный фильм, биографический фильм, драматический фильм",Клинт Иствуд,США,"20 июня, 2014, 31 июля, 2014, 2014",6.8
Парни из Эссекса,"Триллер, криминальный фильм, драма",Терри Уинзор,Великобритания,2000,6.0
Парни не плачут,"биография, драма, криминал",Кимберли Пирс,США,1999,7.5
Парни из женской общаги,комедия,Уоллес Володарски,США,2002,5.4
Парни в синей форме,боевик,Джеймс Уильям Гуэрсио,США,1973,7.0
Парни кунг-фу,боевик,Лау Кавин,Гонконг,1977,6.2
Парни и куколки (фильм),"мюзикл, мелодрама, комедия",Джозеф Манкевич,США,1955,7.1
Парни в песке,порнографический фильм,Вэйкфильд Пул,США,"29 декабря, 1971",6.7
Парни в лодке (фильм),драма,Джордж Клуни,США,2023,7.0
"Парни в группе (фильм, 2020)",драма,Джо Мантелло,"США, Канада",2020,6.8
Паркер (фильм),"криминал, триллер, боевик",Тэйлор Хэкфорд,США,2013,6.2
Пармская обитель (фильм),"историческая драма, экранизация",Кристиан-Жак,"Франция, Италия",1948,7.2
Парклэнд,"биографический, триллер, детектив",Питер Ландесман,США,2013,6.4
Парк юрского периода: Затерянный мир,"научно-фантастический, боевик",Стивен Спилберг,США,1997,6.5
"Парни в группе (фильм, 1970)",драматический фильм,Уильям Фридкин,США,1970,7.6
Парни (фильм),мелодрама,Стэйси Кохрэн,США,1996,4.9
Парк юрского периода III,"научно-фантастический, боевик",Джо Джонстон,США,2001,5.9
